id,display_name,price,cpu_socket,form_factor,max_memory,num_memory_slots,colour
00ad7843-2332-4b08-b15f-45a9827ad3ff,Gigabyte B550M DS3H,123.35,AM4,Micro ATX,128,4,Black / Gold
d2fef1f2-d744-49d6-9ae7-f4bd4a0060b7,Asus ROG STRIX X670E-E GAMING WIFI,469.99,AM5,ATX,192,4,Black / Silver
0e068dcd-ce39-4a23-868a-8f666f50df53,Gigabyte B450M DS3H WIFI,79.99,AM4,Micro ATX,64,4,Brown / Black
bbf465bb-c74c-4c06-9f78-af0c17d60094,MSI PRO B760M-P DDR4,99.99,LGA1700,Micro ATX,128,4,Black
5f2c58e2-ee72-42a3-9eb8-c5ff9aab399a,Gigabyte B550 AORUS ELITE AX V2,159.99,AM4,ATX,128,4,Black / Silver
a6ca407c-0497-4683-93b4-65f33607c090,MSI B450M-A PRO MAX,74.99,AM4,Micro ATX,32,2,Black
a08a627d-c605-4804-919c-bc0daa6d28c7,MSI PRO Z690-A WIFI DDR4,171.0,LGA1700,ATX,128,4,Black / Silver
2b36ed25-1fb9-4f9d-9e84-cde4ea38c45f,Gigabyte B760M DS3H AX,139.99,LGA1700,Micro ATX,192,4,Black
10acf693-f607-4edf-aa3e-db43d1c5a5b0,Asus PRIME Z790-A WIFI,290.99,LGA1700,ATX,192,4,Black / Silver
05037b71-a20c-4d6d-88ad-763e3886feed,NZXT N7 Z790,299.99,LGA1700,ATX,128,4,White / Black
f7d8ee0e-8343-40a0-ba55-9a32f4780a99,Gigabyte A520M S2H,74.98,AM4,Micro ATX,64,2,Black
59a6e63a-8b0a-42be-aeb3-239e4dc761be,ASRock B650M Pro RS,139.99,AM5,Micro ATX,192,4,Black / Silver
c938b71d-d495-4b16-b0f3-4b37219b2b19,Asus ROG STRIX B650E-I GAMING WIFI,319.99,AM5,Mini ITX,96,2,Black
46157083-3f18-48c3-84ea-b84e02c1939f,Gigabyte B550 GAMING X V2,129.99,AM4,ATX,128,4,Black
f7f8533e-ba7c-432d-86cd-0874be58eff1,MSI MPG Z790 EDGE WIFI,339.99,LGA1700,ATX,192,4,Silver / Black
eae5ccb6-9383-4417-a579-5d6b84bd089e,Asus ROG STRIX Z790-H GAMING WIFI,269.99,LGA1700,ATX,192,4,Black
cd7c6b13-7375-484f-8c26-086b85eb871b,Gigabyte B550I AORUS PRO AX,189.99,AM4,Mini ITX,64,2,Black / Silver
282f4c89-c27d-4466-b73a-e87f0d658df8,Asus TUF GAMING A520M-PLUS WIFI,99.99,AM4,Micro ATX,128,4,Black / Orange
e2c5cccf-f38f-4294-88e3-13502bf20188,Gigabyte B550 UD AC,,AM4,ATX,128,4,Brown / Black
f4dd39c2-feff-451d-84cb-42ad6101239f,MSI PRO X670-P WIFI,198.99,AM5,ATX,192,4,Black / White
c628a2f6-2567-45d3-bc02-3e18c0aec381,ASRock B550M-ITX/ac,129.01,AM4,Mini ITX,64,2,Silver / Black
c23eb7b2-3e07-4dd6-9c5f-87d6410a2a34,Asus ROG STRIX B550-F GAMING,164.99,AM4,ATX,128,4,Black
a43163ca-87a2-439c-b094-0ecec9034897,Asus ROG STRIX B760-A GAMING WIFI D4,214.99,LGA1700,ATX,128,4,Silver / Black
1264404a-822a-440b-b0c8-80330a8ed830,MSI PRO B660M-A WIFI DDR4,,LGA1700,Micro ATX,128,4,Black / Silver
4b50a91d-4732-4b04-bc34-f2952d350ff4,Gigabyte A620I AX,139.99,AM5,Mini ITX,96,2,Black / Gray
c137ecd7-58fe-40a8-a3e8-a6af5f7abab7,NZXT N7 B650E,315.99,AM5,ATX,128,4,White
fbcba867-73f4-4618-bc08-4f5233f9e143,Gigabyte B650M AORUS ELITE AX,189.99,AM5,Micro ATX,192,4,Black
cc7dba66-3ff6-4054-a676-7cafd2ca745e,Gigabyte B550M AORUS ELITE,99.99,AM4,Micro ATX,128,4,Black / Orange
c0704f75-962a-4a51-84e2-13c75e5b2745,Gigabyte X670 AORUS ELITE AX (rev. 1.0),279.99,AM5,ATX,192,4,Black
dc901516-bb95-49a6-aee7-20f5c25a8ffa,Asus PRIME Z690-P WIFI D4,219.99,LGA1700,ATX,128,4,Silver / Black
fe532860-7224-435c-a575-69fee1e7ec39,Asus PRIME Z790-P WIFI,212.0,LGA1700,ATX,192,4,Black / Silver
d61eaac8-a648-4b5c-b0b4-13c851456b70,MSI MAG B760 TOMAHAWK WIFI,199.99,LGA1700,ATX,192,4,Black
e6f2436a-dacb-4b89-8a0a-627536a715da,MSI MPG Z490 GAMING PLUS,155.32,LGA1200,ATX,128,4,Black / Silver
ec31056a-beb2-4f71-84b7-56fc8d09a2ee,Asus ROG CROSSHAIR X670E HERO,640.0,AM5,ATX,192,4,Black / Silver
e7fd531e-42c0-41b5-872e-01b5a5072fdc,Asus TUF GAMING X670E-PLUS WIFI,301.2,AM5,ATX,192,4,Black / Orange
6e2135d1-f55a-47fb-96b5-baf3aedeba12,ASRock B650M-HDV/M.2,124.99,AM5,Micro ATX,96,2,Silver / Black
3493e216-c2a4-419e-a257-e04970bcc813,MSI A520M-A PRO,69.99,AM4,Micro ATX,64,2,Black
b1e556e1-396a-46fe-a2c8-474c3bab5189,Gigabyte B760M GAMING X AX DDR4,139.99,LGA1700,Micro ATX,128,4,Black
b93f0df7-8da3-4942-9203-50ec5c5e51bb,ASRock B550M Phantom Gaming 4,84.99,AM4,Micro ATX,128,4,Black
60a0f960-6ae1-4d11-b27b-146902c667f5,ASRock X670E Steel Legend,299.99,AM5,ATX,192,4,Black / White
3233cade-e55a-4add-b0c4-214401d8dd89,Asus PRIME B550-PLUS,129.91,AM4,ATX,128,4,Black / White
80e64351-994a-4dfa-a275-81844ce8acc2,Gigabyte B650M DS3H,144.99,AM5,Micro ATX,192,4,Brown / Black
894e7ae3-7193-416e-af97-187b3886f99f,Gigabyte H410M H V2,76.81,LGA1200,Micro ATX,64,2,Gray / Black
d7721dcb-9287-4037-8596-f7d4063dc9e2,MSI PRO Z790-A WIFI,209.99,LGA1700,ATX,192,4,Black / Silver
1287568a-7b99-43bf-b20b-573652e9cd1a,Asus PRIME A320M-K,80.86,AM4,Micro ATX,32,2,Black / White
23b479c4-9578-4ab1-a9f7-fba8a080c53d,Asus ROG STRIX Z690-E GAMING WIFI,239.99,LGA1700,ATX,192,4,Black
5ab23b03-5b0e-40aa-b56e-1f202db51ed2,MSI B450 TOMAHAWK MAX,,AM4,ATX,128,4,Black
fa9bd2c4-300c-4368-a3db-92722f37a21b,MSI MEG Z790 GODLIKE,1199.99,LGA1700,EATX,192,4,Black
79d6fcb8-a2cf-4c68-bc4e-6925b312a72a,MSI MAG Z690 TOMAHAWK WIFI DDR4,229.99,LGA1700,ATX,128,4,Black / Silver
3d9150f9-9587-444f-afe8-bd182b83b7b6,MSI MPG B650I EDGE WIFI,266.89,AM5,Mini ITX,96,2,Black / Silver
2330b264-7940-419f-bdb8-5941be9b877b,NZXT N7 B550,249.99,AM4,ATX,128,4,White / Black
f49fd664-5b69-4ddf-8e49-70820ecd0d39,Gigabyte B650M K,119.99,AM5,Micro ATX,192,4,Brown / Silver
9863e3be-ace3-4216-9e12-c1c34c1cf04c,ASRock B550 Phantom Gaming 4/ac,98.9,AM4,ATX,128,4,Silver / Black
d5e9388c-c424-440a-aa7e-d60d8b1c73c7,MSI Z790 GAMING PRO WIFI,209.99,LGA1700,ATX,192,4,Black
62c95485-df64-4253-b958-69b346fcd375,MSI PRO B650M-P,119.99,AM5,Micro ATX,192,4,Black / Silver
9c341f57-0908-48d7-9028-a1866b59a771,ASRock B760M Steel Legend WiFi,204.18,LGA1700,Micro ATX,192,4,Silver / Black
4c090685-1da2-4906-9bca-93bb7b6f5260,ASRock B450M PRO4 R2.0,77.98,AM4,Micro ATX,128,4,Gray / Black
734d2f96-d46e-4d63-875b-eb536b761f08,ASRock Z690M-ITX/ax,149.99,LGA1700,Mini ITX,64,2,Silver / Black
6fcede52-3037-4e69-96cc-8ad711755ead,Asus ROG STRIX Z790-A GAMING WIFI,369.99,LGA1700,ATX,192,4,Silver / Black
72b46855-ded9-493a-95da-81268dace545,Asus ROG STRIX X670E-A GAMING WIFI,376.99,AM5,ATX,192,4,Silver / Black
85392ba9-3b25-4314-838f-ddf6b1fe6cd0,Asus PRIME X670E-PRO WIFI,334.99,AM5,ATX,192,4,Silver / Black
fbd2ee80-30db-49be-868b-96eb55677f0a,ASRock Z690 PG Riptide,124.99,LGA1700,ATX,128,4,Black / Silver
fc6f52f4-e2bd-4028-87b6-f56b4c3de9a1,MSI MEG X570 UNIFY,229.99,AM4,ATX,128,4,Black
8ec6f16d-9528-439d-95cf-1a5d20849ec0,ASRock B550M-HDV,77.78,AM4,Micro ATX,64,2,Black
e2039bcf-6614-4124-97c6-ad2fbddaa072,Gigabyte B550M DS3H AC,109.99,AM4,Micro ATX,128,4,Black
96900741-0152-4b70-93a7-b4d6afa440f4,MSI PRO A620M-E,74.98,AM5,Micro ATX,96,2,Black
052e1c1f-b1d6-45fc-990d-cf9c5739dc74,Gigabyte B760 GAMING X AX,169.99,LGA1700,ATX,192,4,Black / Gray
68da8e8d-c416-4529-b3b9-dd3416d2d67c,ASRock B450M/ac R2.0,74.98,AM4,Micro ATX,128,4,Black / Silver
ca4983fa-be20-48ef-b101-e7daca188965,ASRock A620M Pro RS WiFi,124.99,AM5,Micro ATX,192,4,Silver / Black
0104e591-3557-4c86-8d43-08e1722918ec,Asus PRIME H510M-K,109.99,LGA1200,Micro ATX,64,2,Black / Silver
3d64140d-8cee-4087-b0f4-a11121029547,MSI B450 Gaming Plus MAX,99.99,AM4,ATX,128,4,Red / Black
b359b7a0-9341-45f8-a254-9d2e8252c29c,Asus ROG STRIX B450-F GAMING,,AM4,ATX,64,4,Black
7b43033d-dac9-4859-88c7-237f0cf96015,MSI Z390-A PRO,287.0,LGA1151,ATX,128,4,Brown / Black
e979f605-f83b-4bbe-a009-e58597e6b3bd,Asus ROG STRIX Z690-A GAMING WIFI D4,378.05,LGA1700,ATX,128,4,Silver / Black
81bc1a07-d1d2-4891-bbc4-7d8f0387cba2,MSI MPG Z790 CARBON WIFI,440.45,LGA1700,ATX,192,4,Black
8544378a-d320-4b27-a97c-b3587632c039,ASRock B650M PG RIPTIDE WIFI,169.99,AM5,Micro ATX,192,4,Black
06c5acf1-02b1-447a-89be-000d4ff05fce,ASRock B550M Steel Legend,129.99,AM4,Micro ATX,128,4,Silver / Black
c89e66fe-b388-458a-85d0-db12421aafa9,MSI MAG B760 TOMAHAWK WIFI DDR4,188.99,LGA1700,ATX,128,4,Black
