id,display_name,price,core_count,core_clock,boost_clock,tdp,integrated_graphics,has_smt
adaec780-90cb-47a3-9ca4-c6b336d57412,AMD Ryzen 3 3200G,83.49,4,3.6,4.0,65,Radeon Vega 8,0
6b776d90-4d27-46fc-8c3e-e46f5baca676,AMD Ryzen 9 7900,409.0,12,3.6,5.4,65,Radeon,1
7666bd07-30c8-4467-92ce-3bb236e21a11,Intel Core i7-13700F,359.99,16,2.1,5.2,65,,1
bb2b9eb6-4740-432e-a91d-2e2a611d53f2,Intel Core i5-11400F,128.38,6,2.6,4.4,65,,1
38241cfb-1419-4f19-8414-ea646c5bf7b9,Intel Core i7-8700K,222.0,6,3.7,4.7,95,Intel UHD Graphics 630,1
eeb56ef8-fbd7-4a4a-b167-3f620d826aac,Intel Core i9-9900K,485.0,8,3.6,5.0,95,Intel UHD Graphics 630,1
efbb22db-66fa-4957-b35e-f5fb73bdfaa1,AMD Ryzen 9 3900X,365.0,12,3.8,4.6,105,,1
bc3a3e1e-2b22-42b5-8fe5-ff90ecbc1045,Intel Core i7-14700K,418.0,20,3.4,5.6,125,Intel UHD Graphics 770,1
9ba63c0a-d778-4cf4-ac9d-a9b9d27b9bd6,AMD Ryzen 7 2700X,220.0,8,3.7,4.3,105,,1
9a546287-cfc5-4867-a576-f58abea2b7ce,AMD Ryzen 5 3600X,210.0,6,3.8,4.4,95,,1
5c8bac06-66cf-42f8-8231-d258772fe7b6,Intel Core i7-10700K,295.99,8,3.8,5.1,125,Intel UHD Graphics 630,1
69b45247-4477-4871-9bfc-0b662a4b5dfc,Intel Core i3-12100,118.99,4,3.3,4.3,60,Intel UHD Graphics 730,1
e9d5e007-4047-47b1-8a10-60d5ab500c00,Intel Core i7-7700K,280.0,4,4.2,4.5,91,Intel HD Graphics 630,1
52ea1115-0020-44cb-8ae4-5fc2f3f2640f,Intel Celeron E1400,14.0,2,2.0,,65,,0
16913818-8719-46cf-b8f7-04f4021831bc,Intel Core i5-9400F,135.0,6,2.9,4.1,65,,0
