id,display_name,price,type,efficiency,wattage,modular,colour
c7309869-4d37-49df-a39a-9249e0076d65,Thermaltake Toughpower GF1 Snow - TT Premium,91.99,ATX,gold,750,Full,White
bef8f8df-69bc-47b6-862c-0900da767eb5,EVGA SuperNOVA 750 GT,109.99,ATX,gold,750,Full,Black
e24c9a05-9ae4-4d1b-8764-a939fbe56ff8,Corsair HX850,129.99,ATX,platinum,850,Full,Black
d342f792-6ee8-44d0-91e2-6bfda5afbfbd,Asus ROG STRIX G,139.99,ATX,gold,1000,Full,Black
e828c57e-9d26-4382-81c3-f7944dc62bba,be quiet! Pure Power 12 M,119.9,ATX,gold,750,Full,Black
cca99e32-d4a5-466a-94be-b343cd5b6298,Corsair VS600 (2020),59.99,ATX,bronze,600,False,Black
602ce0da-549d-4699-9dfd-3ab8d66de019,SeaSonic FOCUS Plus 750 Gold,95.66,ATX,gold,750,Full,
5ff96b24-db7c-49d0-a475-280af2c827bf,MSI MPG A750GF,109.99,ATX,gold,750,Full,Black
11f250bb-5948-405e-a4fd-9986eefc640c,EVGA 700 BR,74.98,ATX,bronze,700,False,
fdb2c625-4a8c-4a71-9bd9-ae6a7eda8a1b,Thermaltake Toughpower Grand RGB,86.99,ATX,gold,750,Full,
59521e2a-76b8-4223-8831-301c5529d335,Thermaltake Toughpower GF A3 - TT Premium Edition,84.99,ATX,gold,750,Full,Black
cc5a70c2-6980-4f8c-ad27-2b387950a461,SeaSonic FOCUS PLUS 850 Gold,114.99,ATX,gold,850,Full,
fac55f40-bf7b-4b2d-b00c-5d74441f0d18,Gigabyte P450B,82.23,ATX,bronze,450,False,Black
52e6f749-cb05-41a6-8ff7-0a4612363f0d,MSI MEG Ai1300P PCIE5,319.99,ATX,platinum,1300,Full,Black / Copper
4c188b12-23f5-4e51-90d8-f48dd2b0f180,Corsair RM650x (2021),129.99,ATX,gold,650,Full,Black
8b38686f-4797-4168-8ec9-0c6dc944a8fb,be quiet! Dark Power 13,269.89,ATX,titanium,1000,Full,Black
6d3daf7d-b1b3-4e16-9078-26316d1ac15b,EVGA 600 W1,64.98,ATX,plus,600,False,
